Moisture,f_ONd,logsd_f_Ond,d_f_Ond,f_Oni,logsd_f_Oni,d_f_Oni
Dry,0.0079,0.0026,lognormal,0.006,0.31,lognormal
Moist,0.0094,0.0026,lognormal,0.005,0.4,lognormal
